detected_pump,real_pump,model,1_1,,,1_2,,,2_1,,,2_2,,,3_1,,,3_2,,,3_3,,
5,6,1,-94,-110,-120,-65,-68,-74,,,,,,,,,,-77,-79,-78,-80,-80,-80
5,6,1,,,,-76,-70,-71,,,,,,,,,,-77,-78,-77,-78,-79,-78
6,6,3,-86,-89,-88,-73,-70,-70,,,,-93,-93,-93,,,,-81,-81,-81,-74,-74,-75
5,6,3,-89,-89,-90,-68,-67,-66,-120,-91,-91,-88,-89,-89,,,,-78,-78,-81,-82,-82,-83
5,6,1,-91,-90,-92,-78,-78,-78,,,,,,,,,,-76,-84,-83,-81,-78,-78
5,6,1,-90,-89,-88,-75,-75,-76,,,,,,,,,,-76,-75,-75,-80,-80,-81
5,6,3,-91,-107,-90,-72,-70,-68,-89,-90,-89,-105,-120,-120,,,,-79,-78,-78,-79,-80,-77
5,6,1,-88,-88,-89,-76,-75,-73,,,,,,,,,,-75,-76,-76,-85,-82,-81
5,6,3,-89,-90,-90,-71,-73,-70,-93,-92,-92,-92,-92,-89,,,,-77,-79,-79,-78,-78,-78
5,6,1,-83,-83,-86,-77,-75,-74,,,,-90,-90,-90,,,,-86,-84,-84,-83,-84,-83
5,6,1,-83,-87,-85,-69,-69,-70,,,,,,,,,,-81,-82,-81,-83,-85,-85
5,5,3,,,,-84,-82,-80,,,,,,,,,,-84,-84,-83,,,
5,6,3,-86,-87,-88,-66,-66,-67,-85,-85,-101,-87,-85,-89,,,,-78,-79,-76,-76,-76,-79
5,6,1,-93,-94,-84,-71,-70,-69,,,,,,,,,,-81,-82,-81,-86,-84,-85
5,6,3,-86,-90,-89,-63,-64,-63,-91,-107,-120,-84,-84,-84,,,,-76,-76,-76,-80,-80,-80
5,6,3,-89,-89,-88,-62,-63,-64,,,,-85,-86,-87,,,,-76,-75,-76,-79,-81,-81
5,6,1,-85,-87,-88,-70,-69,-68,,,,,,,,,,-80,-80,-80,-84,-85,-85
5,6,3,-90,-89,-88,-68,-68,-69,,,,-86,-85,-87,,,,-77,-78,-78,-81,-80,-80
5,6,1,-82,-84,-87,-69,-69,-71,,,,,,,,,,-82,-83,-80,-84,-83,-83
5,6,3,-88,-89,-90,-66,-67,-65,-90,-106,-91,-86,-88,-87,,,,-78,-77,-78,-79,-79,-80
5,6,1,-91,-92,-89,-70,-71,-71,,,,,,,,,,-81,-81,-84,-85,-84,-84
5,6,3,-90,-89,-89,-66,-68,-66,-92,-92,-91,-91,-90,-87,,,,-79,-79,-79,-79,-79,-80
6,6,3,-86,-87,-88,-66,-66,-69,-84,-84,-89,-90,-90,-89,,,,-79,-79,-78,-78,-78,-82
5,6,1,-120,-91,-91,-72,-72,-69,,,,,,,,,,-85,-82,-80,-82,-82,-83
6,6,3,-90,-89,-87,-70,-71,-69,-90,-89,-89,-86,-87,-89,,,,-79,-76,-77,-75,-75,-76
6,6,1,-91,-92,-108,-71,-71,-72,,,,-91,-91,-89,,,,-78,-79,-80,-83,-83,-83
6,6,1,-91,-91,-90,-72,-73,-74,,,,-106,-120,-120,,,,-78,-87,-84,-82,-82,-82
6,6,3,-105,-120,-92,-69,-69,-69,-117,-90,-91,-86,-87,-87,,,,-78,-79,-80,-76,-77,-77
5,6,1,-90,-90,-91,-75,-75,-76,,,,,,,,,,-79,-86,-82,-82,-85,-85
6,6,3,-89,-90,-106,-66,-64,-65,-85,-89,-86,-86,-87,-88,,,,-77,-77,-78,-75,-76,-77
5,6,1,,,,-77,-78,-79,,,,,,,,,,-83,-81,-76,-83,-85,-85
5,6,3,-91,-88,-92,-63,-63,-64,-83,-83,-86,-88,-88,-87,,,,-81,-82,-81,-76,-75,-76
6,6,3,-88,-89,-90,-66,-63,-67,-87,-88,-91,-88,-87,-87,,,,-83,-83,-81,-78,-77,-78
6,6,1,-90,-93,-88,-73,-76,-74,,,,,,,,,,-82,-83,-90,-85,-84,-85
5,6,3,-88,-87,-86,-64,-65,-65,-86,-87,-88,-89,-87,-86,,,,-82,-82,-81,-78,-78,-78
5,6,1,-89,-92,-94,-70,-69,-68,-108,-120,-120,-105,-92,-91,,,,-82,-86,-85,-83,-83,-83
5,6,1,-89,-105,-92,-73,-73,-73,-87,-89,-91,-107,-120,-120,,,,-85,-86,-84,-82,-83,-84
6,6,3,-89,-89,-90,-66,-68,-69,-83,-83,-83,-89,-89,-89,,,,-81,-79,-77,-79,-82,-82
6,6,3,-86,-86,-86,-68,-67,-63,-86,-87,-86,-85,-84,-82,,,,-80,-75,-72,-77,-75,-72
6,6,1,-111,-90,-90,-66,-69,-68,,,,,,,,,,-86,-85,-86,-83,-83,-81
5,6,3,-87,-86,-86,-61,-61,-60,-86,-88,-86,-83,-82,-82,,,,-74,-73,-72,-74,-74,-74
5,6,1,,,,-68,-66,-68,,,,,,,,,,-82,-82,-81,-82,-82,-83
5,6,1,,,,-68,-65,-66,,,,,,,,,,-80,-81,-80,-82,-82,-81
5,6,3,-86,-87,-90,-61,-61,-61,-89,-89,-89,-83,-83,-83,,,,-73,-73,-74,-74,-73,-73
5,6,3,-86,-86,-86,-62,-61,-61,-107,-89,-88,-84,-83,-82,,,,-73,-73,-72,-73,-74,-73
5,6,1,,,,-66,-66,-66,,,,,,,,,,-79,-80,-81,-83,-83,-84
8,8,3,,,,-83,-80,-80,-87,-84,-85,-73,-74,-74,,,,-83,-84,-83,-76,-77,-81
7,8,3,-90,-106,-120,-84,-83,-81,-83,-83,-84,-77,-76,-73,-89,-90,-90,-76,-74,-73,-75,-75,-76
7,8,1,,,,-81,-84,-85,-89,-105,-92,-82,-84,-84,,,,-78,-78,-76,-81,-81,-81
7,8,1,,,,-85,-84,-83,-107,-120,-90,-85,-86,-88,,,,-77,-76,-76,-80,-80,-80
8,8,3,,,,-84,-85,-83,-84,-86,-86,-76,-76,-77,-90,-91,-107,-78,-77,-77,-75,-77,-77
5,8,1,,,,-87,-87,-87,-90,-106,-91,-89,-88,-88,,,,-75,-76,-77,-81,-82,-81
7,8,3,,,,-83,-83,-82,-84,-83,-84,-77,-76,-76,,,,-75,-75,-76,-78,-78,-78
5,5,1,,,,-78,-78,-80,,,,,,,,,,-77,-79,-78,,,
7,8,1,,,,-87,-86,-86,-107,-89,-93,-88,-88,-87,-106,-120,-120,-78,-78,-80,-82,-82,-82
7,8,3,-93,-91,-107,-82,-82,-81,-84,-83,-83,-77,-78,-79,-90,-106,-120,-76,-76,-77,-77,-76,-76
7,8,1,,,,-88,-87,-87,-89,-105,-90,-88,-88,-87,,,,-79,-80,-79,-81,-81,-80
8,8,3,-91,-89,-88,-83,-81,-81,-83,-84,-85,-79,-79,-79,-91,-107,-92,-76,-76,-77,-76,-78,-77
8,8,3,,,,-80,-80,-82,-85,-85,-87,-76,-75,-74,,,,-82,-83,-82,-76,-75,-76
8,8,1,,,,-87,-89,-91,-86,-87,-91,-79,-79,-80,,,,-85,-85,-84,-76,-75,-75
8,8,1,,,,-89,-90,-106,-90,-92,-90,-79,-80,-80,,,,-86,-85,-85,-75,-75,-74
8,8,1,,,,-89,-88,-90,,,,-82,-81,-80,,,,-87,-87,-87,-75,-75,-75
8,8,3,,,,-81,-84,-86,-88,-85,-85,-73,-74,-74,,,,-83,-82,-82,-75,-76,-75
8,8,3,,,,-82,-82,-83,-85,-86,-86,-74,-73,-74,,,,-81,-81,-81,-78,-79,-76
8,8,1,,,,-92,-92,-108,,,,-82,-82,-82,,,,-91,-90,-88,-75,-76,-75
8,8,3,,,,-84,-83,-83,-84,-85,-84,-76,-74,-74,,,,-82,-83,-82,-77,-75,-75
8,8,1,,,,-120,-120,-120,,,,-82,-81,-82,,,,-87,-88,-89,-75,-76,-75
5,5,1,-94,-94,-89,-80,-82,-78,,,,,,,,,,-80,-81,-82,,,
8,8,1,,,,-83,-92,-93,-89,-88,-89,-75,-75,-75,,,,-84,-79,-80,-78,-77,-78
8,8,3,-92,-89,-87,-83,-83,-83,-87,-86,-85,-72,-67,-67,-108,-120,-94,-82,-81,-81,-78,-77,-78
2,2,1,-83,-81,-81,-82,-82,-84,,,,,,,-90,-88,-88,-85,-85,-85,,,
4,4,3,-120,-120,-120,-89,-88,-90,-73,-76,-73,-91,-89,-88,-82,-82,-83,-79,-80,-78,-88,-87,-87
4,4,3,,,,-81,-81,-81,-69,-71,-70,-87,-89,-87,-109,-120,-89,-76,-77,-79,-85,-83,-83
5,5,1,-88,-90,-90,-77,-77,-77,,,,,,,,,,-72,-72,-72,-87,-89,-91
5,5,3,-80,-80,-81,-75,-78,-72,-90,-90,-88,-89,-89,-88,-87,-87,-86,-67,-64,-64,-87,-86,-88
8,8,1,,,,-92,-91,-90,-88,-88,-87,-74,-74,-73,,,,-82,-81,-81,-78,-78,-77
2,2,3,-74,-74,-75,-77,-77,-77,,,,-91,-90,-90,-80,-80,-80,-72,-72,-72,-87,-86,-87
4,4,3,,,,-89,-89,-87,-74,-72,-73,-87,-86,-86,-82,-82,-83,-77,-78,-78,-87,-86,-87
5,4,1,,,,-89,-88,-87,-84,-84,-86,-90,-90,-106,-89,-88,-87,-88,-88,-88,,,
5,5,3,-88,-92,-87,-71,-71,-70,-93,-93,-89,-91,-107,-120,-91,-90,-91,-72,-74,-71,-86,-84,-84
5,5,1,-86,-87,-87,-75,-74,-74,,,,,,,,,,-73,-72,-72,,,
1,1,1,-82,-81,-82,-90,-90,-90,,,,,,,-79,-80,-80,-92,-91,-90,,,
8,8,1,,,,-89,-89,-90,-89,-88,-89,-74,-72,-74,,,,-84,-84,-83,-77,-78,-78
2,2,1,-79,-79,-80,-83,-84,-83,,,,,,,-87,-90,-90,-89,-86,-84,,,
4,4,1,,,,-89,-89,-89,-85,-85,-84,-88,-88,-88,-91,-93,-109,-85,-84,-82,,,
4,4,3,,,,-81,-82,-86,-74,-75,-73,-85,-86,-83,-80,-81,-85,-79,-80,-81,-89,-88,-93
5,5,1,-86,-87,-88,-77,-78,-78,,,,,,,,,,-71,-73,-74,-88,-89,-90
5,5,3,-80,-81,-81,-70,-72,-71,-89,-89,-88,-90,-88,-90,-86,-87,-87,-63,-63,-64,-87,-87,-87
1,1,1,-81,-82,-81,-90,-89,-105,,,,,,,-79,-78,-78,-89,-88,-89,,,
8,8,3,-89,-87,-88,-82,-82,-80,-85,-85,-84,-69,-70,-71,-92,-90,-91,-82,-85,-84,-77,-76,-75
2,2,3,-74,-75,-73,-78,-78,-78,,,,-91,-107,-120,-81,-81,-81,-71,-71,-71,-88,-88,-87
4,4,3,-88,-87,-87,-85,-83,-82,-72,-70,-73,-80,-80,-79,-81,-81,-81,-79,-79,-80,-105,-120,-120
4,4,1,,,,-87,-88,-91,-76,-75,-74,-97,-113,-93,-104,-120,-120,-89,-93,-91,,,
5,5,3,-88,-87,-87,-72,-73,-71,-87,-87,-87,-91,-90,-89,-89,-89,-89,-69,-68,-69,-84,-83,-82
5,5,1,-88,-88,-87,-70,-73,-74,,,,,,,,,,-69,-71,-71,,,
8,8,1,,,,-89,-105,-120,-88,-88,-88,-75,-73,-73,,,,-81,-81,-81,-78,-78,-78
2,2,1,-81,-80,-81,-84,-84,-83,,,,,,,-87,-87,-86,-87,-85,-85,,,
7,4,1,,,,-106,-92,-90,-88,-88,-91,-87,-87,-88,-90,-90,-90,-88,-87,-87,,,
4,4,1,,,,-91,-91,-107,-73,-73,-73,,,,,,,-87,-88,-87,,,
5,5,1,-87,-87,-89,-77,-79,-80,,,,,,,,,,-73,-73,-74,-88,-88,-89
5,5,3,-81,-81,-82,-68,-68,-68,-88,-88,-90,-108,-120,-120,-88,-87,-86,-62,-62,-63,-86,-85,-85
7,7,3,-85,-85,-86,-83,-83,-83,-85,-101,-85,-76,-77,-77,-84,-84,-89,-76,-77,-77,-90,-106,-120
8,8,3,-89,-89,-88,-82,-82,-82,-84,-84,-82,-69,-69,-70,-88,-88,-90,-81,-81,-81,-77,-78,-79
2,2,3,-73,-72,-72,-77,-77,-82,,,,-90,-90,-90,-80,-80,-80,-71,-71,-71,-86,-86,-88
4,4,3,-86,-86,-89,-82,-81,-85,-73,-74,-73,-79,-79,-78,-81,-81,-81,-80,-80,-83,-90,-89,-90
4,4,3,,,,-85,-83,-84,-73,-75,-71,-84,-83,-83,-85,-85,-84,-81,-83,-81,-106,-90,-106
5,5,3,-94,-110,-91,-72,-71,-71,-91,-91,-91,-90,-90,-90,-89,-91,-91,-71,-71,-70,-84,-84,-84
5,5,1,-87,-86,-86,-72,-72,-72,,,,,,,,,,-73,-69,-70,,,
8,8,1,,,,-89,-90,-89,-87,-87,-87,-76,-72,-72,,,,-81,-79,-80,-77,-79,-78
2,2,1,-81,-80,-80,-83,-84,-84,,,,,,,-87,-87,-88,-90,-88,-87,,,
7,4,1,,,,-85,-88,-88,-89,-90,-106,-88,-87,-86,-88,-88,-88,-87,-87,-87,,,
4,4,3,,,,-84,-82,-84,-75,-72,-73,-83,-83,-84,-88,-86,-84,-80,-82,-82,-89,-91,-88
5,5,1,-87,-88,-87,-79,-78,-78,,,,,,,,,,-73,-73,-74,-88,-90,-90
5,5,3,-80,-80,-80,-71,-73,-73,-89,-90,-90,-90,-92,-92,-86,-88,-87,-66,-66,-65,-87,-87,-86
1,1,3,-76,-75,-74,-89,-89,-91,,,,,,,-66,-66,-66,-87,-83,-84,,,
8,8,3,-88,-90,-90,-81,-81,-82,-83,-84,-83,-69,-71,-69,-90,-106,-120,-88,-81,-79,-79,-80,-80
2,2,3,-72,-72,-72,-77,-78,-78,,,,-89,-89,-89,-81,-81,-84,-72,-72,-71,-87,-86,-87
3,4,3,-89,-89,-89,-84,-84,-83,-74,-73,-75,-79,-79,-79,-81,-80,-80,-81,-81,-80,-92,-92,-92
4,4,1,,,,-91,-91,-90,-74,-73,-73,,,,,,,-87,-88,-87,,,
5,5,3,-88,-90,-90,-72,-72,-72,,,,-107,-120,-120,-89,-90,-91,-72,-69,-71,-84,-84,-85
5,5,3,-80,-80,-80,-69,-69,-68,-89,-89,-89,-91,-90,-106,-86,-85,-85,-64,-64,-64,-86,-85,-88
1,1,3,-76,-76,-76,,,,,,,,,,-66,-66,-66,-85,-85,-86,,,
2,2,3,-75,-73,-70,-75,-78,-80,-91,-91,-89,-88,-87,-88,-76,-75,-79,-74,-80,-79,-87,-85,-88
2,2,3,-71,-71,-72,-78,-79,-79,,,,-89,-89,-105,-81,-80,-80,-71,-71,-71,-87,-87,-86
7,4,1,,,,-89,-89,-88,,,,-85,-85,-86,-89,-89,-89,-85,-85,-86,,,
4,4,3,,,,-83,-84,-86,-76,-75,-77,-84,-84,-84,-84,-84,-84,-80,-80,-80,-89,-89,-88
5,5,1,-89,-89,-87,-79,-80,-79,,,,,,,,,,-73,-73,-74,-89,-89,-88
5,5,1,-88,-87,-87,-71,-71,-71,,,,,,,,,,-70,-71,-71,,,
7,7,1,-92,-91,-90,-85,-84,-85,,,,-80,-81,-81,,,,-86,-84,-84,-87,-85,-85
2,2,1,-79,-80,-80,-85,-85,-85,,,,,,,-83,-83,-83,-79,-81,-83,,,
1,2,1,-81,-80,-80,-84,-86,-85,,,,,,,-93,-90,-87,-88,-85,-84,,,
4,4,3,-87,-86,-88,-85,-86,-83,-75,-73,-75,-78,-80,-78,-81,-80,-81,-83,-82,-82,-108,-120,-120
4,4,1,,,,-90,-90,-90,-73,-74,-74,,,,,,,-87,-87,-85,,,
5,5,3,-83,-85,-85,-70,-74,-72,-88,-87,-86,-90,-106,-120,,,,-75,-75,-73,-84,-83,-83
5,5,1,-87,-86,-85,-73,-73,-75,,,,,,,,,,-70,-70,-70,,,
7,7,1,-93,-109,-92,-84,-84,-83,,,,-82,-83,-82,,,,-84,-83,-84,-85,-84,-85
5,5,1,-110,-120,-94,-84,-85,-82,,,,,,,,,,-89,-88,-86,,,
1,2,3,-70,-70,-70,-78,-77,-78,-88,-90,-87,-89,-89,-89,-81,-80,-81,-79,-79,-78,-88,-88,-88
2,2,3,-71,-74,-69,-75,-75,-76,-120,-91,-87,-90,-85,-85,-84,-86,-88,-76,-80,-78,-83,-81,-84
7,4,1,,,,-89,-90,-90,-107,-120,-120,-86,-88,-88,-89,-89,-89,-86,-86,-86,,,
4,4,3,,,,-86,-85,-84,-77,-77,-77,-84,-84,-84,-85,-85,-85,-78,-79,-79,-90,-89,-90
5,5,1,-89,-91,-107,-74,-75,-73,,,,,,,,,,-73,-72,-71,,,
5,5,3,-80,-80,-80,-70,-70,-69,-88,-89,-89,-105,-91,-90,-85,-85,-85,-64,-63,-63,-87,-88,-88
2,2,1,-79,-80,-80,-86,-85,-86,,,,,,,-83,-83,-83,-82,-81,-79,,,
2,2,1,-73,-71,-71,-86,-83,-86,,,,-91,-91,-107,-92,-95,-111,-86,-84,-80,,,
4,4,1,,,,-89,-105,-88,-81,-81,-81,-89,-87,-88,-89,-88,-89,-87,-87,-89,,,
4,4,1,,,,-89,-90,-106,-75,-75,-75,,,,,,,-87,-87,-88,,,
5,5,3,-89,-88,-89,-69,-69,-71,-91,-90,-89,-90,-89,-88,,,,-73,-71,-71,-88,-87,-86
7,7,3,-84,-85,-86,-82,-80,-79,-81,-82,-85,-75,-77,-81,-85,-88,-89,-77,-76,-77,-84,-87,-88
7,7,1,-120,-91,-91,-84,-86,-86,,,,-81,-84,-81,,,,-83,-83,-82,-86,-88,-89
2,2,3,-71,-70,-71,-78,-78,-80,-88,-88,-89,,,,-80,-81,-82,-78,-75,-77,-89,-90,-91
2,2,1,-82,-84,-83,-85,-85,-86,,,,-90,-90,-90,,,,-86,-86,-86,,,
4,4,3,,,,-82,-83,-83,-69,-70,-72,-79,-83,-84,-85,-86,-86,-75,-77,-77,-83,-82,-82
5,5,1,-93,-89,-87,-81,-78,-77,,,,,,,,,,-77,-73,-72,-107,-91,-89
5,5,1,-89,-92,-90,-75,-76,-80,,,,,,,,,,-71,-71,-71,,,
5,7,1,-91,-93,-109,-88,-86,-85,-88,-89,-89,-84,-86,-86,,,,-87,-87,-87,-90,-90,-88
7,7,3,-84,-86,-88,-81,-82,-83,-76,-82,-88,-75,-75,-75,-84,-85,-85,-77,-75,-75,-86,-88,-91
2,2,1,-79,-78,-79,-88,-87,-87,,,,,,,-85,-85,-83,-78,-77,-78,,,
2,2,3,-69,-68,-68,-78,-79,-79,,,,-88,-89,-89,-83,-82,-82,-80,-80,-80,-91,-89,-89
4,4,3,,,,-81,-81,-82,-73,-70,-71,-86,-86,-86,-86,-86,-86,-76,-76,-77,-83,-84,-82
5,5,3,-82,-82,-84,-76,-74,-73,-85,-87,-89,,,,-85,-86,-90,-72,-70,-68,-84,-84,-84
5,5,1,-90,-88,-89,-76,-76,-77,,,,,,,,,,-72,-73,-73,,,
5,7,3,-84,-84,-85,-79,-80,-80,-81,-80,-80,-79,-78,-79,-90,-89,-89,-77,-77,-77,-88,-88,-88
7,7,1,,,,-89,-90,-91,,,,-82,-78,-78,-106,-120,-120,-86,-86,-86,,,
2,2,3,-70,-70,-70,-79,-80,-80,-87,-86,-86,-90,-106,-120,-80,-78,-80,-75,-76,-76,-88,-87,-87
2,2,1,-82,-82,-82,-86,-82,-82,,,,,,,-90,-90,-90,-89,-85,-86,,,
4,4,1,,,,-87,-88,-87,-83,-82,-82,-91,-91,-89,-88,-89,-88,-86,-86,-87,,,
5,5,1,-88,-88,-88,-82,-79,-79,,,,,,,,,,-75,-76,-76,-92,-90,-89
5,5,3,-86,-88,-87,-70,-69,-69,-88,-88,-89,-95,-111,-88,-90,-106,-120,-74,-73,-73,-86,-87,-86
5,7,1,-91,-91,-90,-86,-85,-84,-88,-89,-89,-86,-84,-84,,,,-87,-86,-85,-88,-87,-86
2,2,1,-78,-78,-78,-86,-86,-86,,,,,,,-84,-83,-83,-79,-81,-82,,,
2,2,3,-69,-69,-68,-76,-75,-77,-90,-90,-90,-89,-88,-85,-80,-80,-80,-83,-88,-86,-88,-88,-88
4,4,3,,,,-83,-84,-84,-74,-71,-70,-86,-89,-87,-89,-88,-88,-78,-78,-78,-82,-81,-82
5,5,3,-85,-85,-85,-73,-74,-74,-85,-84,-86,,,,-90,-88,-87,-67,-68,-69,-83,-83,-83
5,5,1,-89,-87,-87,-77,-78,-78,,,,,,,,,,-71,-70,-71,-90,-90,-90
7,7,3,-84,-84,-84,-81,-81,-80,-84,-85,-81,-80,-78,-77,-88,-87,-87,-78,-77,-78,-89,-89,-87
1,2,3,-70,-73,-71,-75,-75,-75,-87,-86,-88,-93,-90,-90,-73,-74,-73,-78,-74,-75,-84,-85,-84
2,2,1,-78,-75,-74,-88,-87,-87,,,,,,,,,,-84,-82,-84,,,
4,4,1,,,,-88,-88,-88,-86,-84,-82,-87,-88,-88,-87,-88,-88,-87,-88,-85,,,
5,5,1,-89,-88,-88,-78,-78,-79,,,,,,,,,,-75,-75,-75,-90,-90,-106
5,5,3,-89,-90,-106,-71,-70,-71,-90,-90,-106,-89,-87,-87,,,,-75,-71,-73,-84,-83,-85
5,7,1,-90,-90,-90,-83,-83,-85,-88,-90,-89,-88,-84,-82,,,,-84,-84,-86,-86,-86,-85
4,7,1,,,,,,,-86,-86,-85,-88,-89,-90,-106,-89,-89,-87,-87,-88,,,
2,2,1,-81,-82,-81,-86,-86,-84,,,,,,,-88,-89,-89,-78,-78,-77,,,
2,2,3,-74,-71,-70,-76,-75,-78,,,,-88,-88,-90,-82,-86,-87,-82,-78,-76,-90,-90,-89
4,4,3,,,,-83,-82,-82,-72,-72,-70,-90,-87,-89,-91,-107,-120,-82,-78,-79,-83,-83,-83
5,5,3,-88,-89,-89,-71,-71,-71,-83,-86,-86,,,,-89,-90,-88,-68,-70,-69,-84,-83,-82
5,5,3,-90,-90,-90,-72,-71,-70,-90,-90,-89,-87,-89,-87,,,,-75,-71,-72,-86,-87,-86
7,7,3,-83,-84,-84,-77,-79,-79,-83,-87,-82,-75,-77,-77,-87,-87,-87,-76,-76,-76,-90,-88,-90
1,1,3,-85,-84,-84,-87,-87,-87,,,,,,,-80,-80,-79,,,,,,
1,2,3,-70,-70,-70,-76,-77,-77,-87,-86,-84,-89,-89,-89,-75,-74,-73,-76,-75,-73,-84,-85,-85
2,2,1,-73,-71,-71,-86,-87,-88,,,,,,,-89,-89,-89,-84,-83,-85,,,
4,4,1,,,,-88,-89,-88,-83,-84,-83,-91,-89,-89,-88,-88,-88,-87,-86,-85,,,
5,5,1,-88,-88,-88,-80,-81,-80,,,,,,,,,,-75,-75,-75,-92,-108,-120
5,5,1,-88,-88,-88,-78,-77,-77,,,,,,,,,,-71,-71,-72,-89,-89,-105
8,7,1,-90,-91,-107,-84,-83,-85,,,,-81,-80,-81,,,,-83,-83,-84,-84,-84,-84
7,7,1,-105,-88,-90,-87,-87,-87,,,,-79,-81,-85,,,,-84,-83,-83,-88,-89,-89
2,2,1,-82,-82,-82,-85,-86,-86,,,,,,,-89,-89,-89,-80,-79,-79,,,
2,2,3,-70,-70,-70,-76,-77,-77,-120,-120,-120,-89,-89,-90,-88,-87,-87,-79,-78,-76,-90,-89,-90
4,4,3,,,,-83,-87,-83,-70,-70,-71,-88,-88,-89,-90,-106,-120,-78,-76,-76,-84,-83,-84
5,5,3,-85,-88,-104,-71,-70,-71,-87,-88,-89,,,,-92,-89,-88,-69,-69,-71,-84,-84,-82
5,5,1,-90,-89,-89,-76,-76,-76,,,,,,,,,,-77,-76,-75,,,
7,7,3,-83,-85,-84,-80,-79,-79,-89,-89,-79,-77,-76,-76,-86,-87,-87,-77,-76,-76,-89,-88,-89
1,1,1,-80,-81,-82,,,,,,,,,,-81,-80,-80,-89,-90,-89,,,
1,2,3,-70,-70,-70,-79,-77,-76,-84,-89,-85,-106,-89,-89,-74,-72,-72,-76,-76,-74,-86,-87,-85
4,4,1,,,,-86,-88,-89,-85,-84,-84,-88,-88,-89,,,,-83,-82,-84,,,
4,4,1,,,,-89,-89,-88,-86,-86,-84,-91,-88,-89,-89,-89,-88,-86,-87,-87,,,
5,5,3,-90,-89,-88,-71,-71,-71,-91,-107,-120,,,,-92,-91,-89,-70,-76,-74,-86,-86,-85
5,5,3,-81,-82,-82,-79,-78,-76,-91,-107,-89,,,,-89,-89,-105,-66,-66,-65,-86,-84,-84
7,7,1,-88,-92,-91,-85,-87,-87,-91,-89,-105,-79,-78,-78,,,,-87,-86,-85,-85,-86,-85
1,1,1,-90,-106,-89,,,,,,,,,,-73,-72,-72,,,,,,
8,8,3,-89,-88,-88,-82,-83,-82,-84,-85,-86,-68,-71,-75,-120,-120,-90,-83,-83,-83,-79,-78,-78
7,7,3,-84,-85,-85,-80,-82,-80,-82,-82,-83,-76,-76,-77,-84,-84,-84,-77,-76,-76,-90,-90,-106
7,7,3,-87,-87,-87,-79,-81,-81,-84,-85,-86,-75,-75,-75,-87,-87,-86,-75,-75,-74,-87,-84,-84
7,7,3,-86,-88,-88,-80,-79,-80,-85,-86,-87,-76,-76,-78,-90,-91,-91,-78,-78,-77,-90,-90,-90
7,7,1,-108,-92,-91,-85,-85,-85,-89,-88,-88,-81,-82,-80,,,,-86,-87,-87,-86,-87,-87
7,7,3,-87,-87,-87,-78,-78,-80,-86,-86,-86,-78,-78,-77,-89,-89,-89,-76,-75,-75,-88,-89,-91
1,1,3,-68,-68,-68,-78,-78,-78,,,,,,,-62,-63,-63,-83,-79,-80,,,
7,7,1,-92,-89,-91,-87,-86,-86,-90,-89,-89,-79,-80,-80,,,,-85,-87,-87,-89,-88,-88
7,7,3,-86,-86,-87,-79,-84,-89,-81,-78,-77,-74,-72,-75,-91,-88,-88,-77,-76,-75,-85,-84,-83
7,7,1,-93,-109,-120,-86,-87,-88,-89,-85,-86,-80,-79,-79,-91,-89,-89,-85,-86,-84,-90,-106,-120
7,7,1,,,,-92,-90,-91,-89,-105,-120,-78,-78,-78,-89,-105,-120,-88,-84,-85,,,
7,7,3,-91,-87,-86,-80,-80,-81,-79,-78,-78,-70,-70,-70,-87,-89,-89,-77,-77,-76,-92,-89,-89
7,7,3,-84,-87,-90,-81,-80,-81,-78,-76,-78,-72,-73,-73,-90,-106,-90,-76,-76,-76,-88,-87,-88
7,7,1,,,,-90,-90,-90,-90,-91,-89,-76,-77,-77,-90,-90,-90,-86,-85,-85,,,
7,7,1,,,,-88,-89,-89,-89,-90,-90,-78,-79,-78,-94,-90,-106,-86,-84,-85,,,
7,7,3,-86,-89,-89,-81,-81,-82,-74,-77,-76,-72,-71,-71,-89,-105,-90,-76,-77,-77,-86,-87,-87
7,7,3,-105,-90,-87,-83,-83,-82,-78,-76,-74,-76,-74,-71,-89,-105,-89,-77,-76,-77,-87,-88,-89
7,7,3,-88,-88,-89,-79,-79,-79,-78,-79,-76,-70,-70,-72,-105,-120,-120,-79,-78,-82,-89,-88,-88
7,7,1,,,,-90,-88,-87,-90,-89,-90,-77,-78,-78,-91,-89,-90,-86,-88,-88,,,
7,7,3,-91,-91,-89,-79,-80,-84,-78,-79,-78,-70,-73,-69,-90,-91,-94,-80,-80,-81,-87,-88,-89
7,7,1,,,,-89,-89,-90,-90,-91,-90,-79,-79,-79,-120,-91,-88,-89,-89,-89,,,
3,7,1,,,,,,,-84,-83,-83,-85,-84,-82,-86,-86,-87,-88,-86,-88,,,
7,7,3,-91,-89,-88,-78,-78,-81,-76,-80,-76,-71,-70,-71,-108,-93,-92,-81,-81,-80,-88,-87,-88
7,7,1,,,,-89,-89,-88,-91,-107,-90,-80,-78,-77,-106,-120,-91,-88,-88,-88,,,
7,7,3,-89,-88,-89,-80,-82,-80,-76,-78,-78,-72,-71,-74,-88,-90,-93,-78,-80,-81,-85,-82,-79
4,7,1,,,,-120,-120,-120,-84,-84,-86,-88,-90,-89,-88,-88,-104,-86,-85,-86,-93,-109,-120
7,7,3,-89,-89,-88,-82,-81,-81,-77,-77,-77,-71,-71,-71,-90,-89,-89,-81,-81,-81,-82,-83,-83
