detected_pump,real_pump,model,1_1,,,1_2,,,2_1,,,2_2,,,3_1,,,3_2,,,3_3,,
5,5,3,,,,-79,-79,-79,,,,,,,,,,-77,-74,-76,-90,-90,-106
2,2,3,-73,-73,-72,-88,-88,-89,-88,-89,-89,,,,-79,-79,-80,-73,-74,-73,,,
2,2,1,-84,-84,-84,-89,-89,-90,,,,,,,,,,-82,-81,-81,,,
2,2,3,-72,-72,-72,-85,-84,-87,-89,-88,-88,,,,-82,-82,-80,-73,-77,-73,,,
2,2,1,-83,-85,-84,-88,-88,-88,,,,-109,-120,-120,-107,-120,-120,-81,-80,-81,,,
2,2,3,-76,-75,-75,-86,-85,-85,-90,-106,-120,,,,-80,-83,-80,-71,-71,-73,,,
2,2,1,-85,-80,-81,-89,-90,-91,,,,,,,-86,-88,-85,-79,-79,-78,,,
2,2,1,-80,-82,-80,-90,-90,-90,,,,,,,-90,-88,-87,-78,-79,-79,,,
2,2,3,-74,-78,-75,-86,-86,-86,-91,-91,-89,,,,-81,-79,-79,-72,-72,-73,,,
2,2,3,-70,-69,-68,-81,-81,-82,,,,-91,-91,-107,-89,-89,-87,-81,-80,-79,,,
2,2,1,-66,-66,-66,-80,-80,-81,-90,-88,-89,-120,-120,-120,,,,-83,-82,-82,,,
4,4,3,,,,-87,-88,-87,-75,-71,-73,-81,-81,-82,-85,-84,-84,-78,-81,-83,,,
4,4,1,-108,-120,-120,-90,-106,-120,-86,-86,-86,-82,-83,-83,-120,-120,-120,-79,-80,-80,,,
7,4,1,,,,,,,-90,-88,-88,-84,-82,-80,-107,-92,-92,-79,-79,-79,,,
4,4,3,,,,-86,-87,-86,-80,-78,-74,-82,-83,-84,-84,-85,-84,-80,-80,-81,,,
4,4,1,,,,-90,-87,-87,-83,-83,-83,-87,-86,-85,-91,-90,-88,-78,-79,-79,,,
4,4,1,,,,-89,-90,-91,-85,-83,-80,-106,-120,-90,-87,-86,-87,-79,-79,-79,,,
4,4,3,-120,-120,-120,-87,-85,-86,-79,-74,-74,-83,-86,-83,-89,-86,-86,-80,-81,-82,-93,-109,-120
4,4,1,,,,-89,-91,-91,-70,-69,-69,-86,-87,-87,-89,-89,-91,-79,-80,-81,-120,-120,-120
4,4,3,,,,-88,-88,-88,-71,-71,-69,-77,-76,-77,-85,-83,-83,-81,-79,-79,-87,-87,-87
1,1,3,-75,-76,-77,-89,-92,-108,-86,-87,-88,,,,-63,-64,-64,-84,-83,-84,,,
1,1,1,-81,-81,-81,,,,,,,,,,-77,-76,-76,-91,-91,-88,,,
1,1,1,-79,-79,-78,,,,,,,-91,-89,-105,-76,-77,-77,-84,-83,-85,,,
1,1,3,-78,-79,-78,-120,-120,-120,-105,-120,-91,,,,-67,-67,-67,-85,-84,-84,,,
1,1,1,-78,-78,-77,,,,,,,-90,-89,-89,-80,-78,-78,-84,-84,-84,,,
3,3,3,,,,-87,-103,-87,-77,-82,-81,-85,-101,-90,-72,-72,-72,-81,-83,-84,-89,-88,-104
1,1,3,-76,-77,-76,,,,-106,-120,-120,,,,-67,-67,-67,-85,-87,-88,,,
1,1,3,-76,-77,-77,-84,-84,-84,-105,-120,-120,,,,-64,-64,-64,-78,-80,-79,,,
1,1,1,-77,-76,-78,-91,-107,-91,,,,,,,-70,-69,-71,-83,-83,-78,,,
1,1,3,-75,-74,-75,-85,-84,-85,-91,-107,-120,,,,-65,-65,-64,-81,-80,-80,,,
1,1,1,-78,-79,-81,-107,-90,-89,,,,,,,-71,-70,-70,-86,-89,-82,,,
1,1,1,-78,-76,-76,-92,-93,-93,,,,,,,-70,-71,-70,-79,-83,-86,,,
1,1,3,-72,-72,-72,-85,-85,-86,-90,-90,-106,,,,-64,-63,-64,-82,-83,-82,,,
1,1,1,-75,-74,-76,,,,,,,-120,-90,-106,-76,-79,-77,-89,-90,-90,,,
3,3,1,,,,,,,-86,-86,-86,,,,-85,-85,-86,-91,-90,-89,,,
1,1,3,-65,-65,-65,-106,-89,-88,-89,-88,-88,-90,-90,-90,-77,-78,-77,-81,-81,-81,,,
1,1,3,-65,-65,-65,-90,-90,-91,,,,-86,-88,-91,-76,-77,-77,-78,-79,-79,,,
1,1,1,-76,-77,-76,,,,,,,-120,-91,-91,-77,-75,-74,-106,-89,-89,,,
4,3,1,,,,-89,-90,-89,-80,-80,-81,-120,-120,-120,-90,-92,-88,-84,-85,-84,,,
4,3,1,,,,-108,-89,-89,-81,-80,-84,-106,-88,-87,-84,-85,-85,-85,-85,-83,,,
3,3,1,,,,,,,-86,-86,-84,,,,-86,-86,-85,-83,-84,-86,,,
3,3,3,,,,-82,-84,-85,-72,-71,-74,-84,-84,-83,-71,-70,-70,-84,-83,-83,,,
3,3,3,-92,-90,-106,-88,-87,-86,-70,-70,-71,-87,-87,-90,-70,-69,-70,-86,-88,-84,,,
3,3,3,,,,-86,-86,-86,-71,-72,-73,-89,-89,-88,-70,-70,-70,-85,-85,-85,,,
3,3,3,,,,-86,-86,-85,-74,-75,-74,-89,-86,-84,-69,-69,-69,-86,-86,-85,,,
3,3,3,,,,-85,-86,-86,-72,-72,-71,-88,-87,-87,-69,-68,-69,-86,-87,-86,,,
4,3,1,,,,,,,-80,-82,-80,-90,-90,-106,-87,-85,-85,-85,-86,-85,,,
3,3,3,,,,-87,-87,-87,-71,-72,-71,-86,-86,-88,-69,-69,-69,-84,-87,-87,,,
4,3,1,,,,,,,-81,-81,-81,-89,-88,-89,-86,-86,-85,-91,-91,-89,,,
3,3,1,,,,,,,-80,-80,-81,,,,-84,-83,-82,-88,-88,-89,,,
5,6,3,-91,-90,-90,-72,-71,-72,,,,,,,,,,-81,-80,-81,-84,-83,-82
6,6,3,-87,-87,-88,-76,-75,-76,-84,-88,-91,-88,-90,-87,,,,-81,-81,-75,-73,-75,-77
6,6,1,-89,-89,-90,-80,-81,-80,,,,,,,,,,-76,-76,-76,-77,-75,-76
6,6,3,-91,-85,-84,-78,-77,-76,-86,-87,-86,-89,-88,-86,,,,-83,-77,-77,-76,-76,-74
5,6,1,-89,-89,-89,-80,-81,-78,,,,,,,,,,-77,-75,-76,-75,-76,-75
6,6,3,-88,-87,-86,-70,-70,-70,,,,-89,-90,-90,,,,-78,-79,-82,-78,-78,-77
6,6,3,-86,-88,-89,-70,-71,-71,-91,-91,-91,-86,-86,-87,,,,-82,-88,-90,-76,-77,-76
2,2,1,-81,-80,-81,-86,-84,-84,,,,,,,-90,-86,-86,-83,-82,-83,,,
6,6,3,-87,-85,-85,-71,-71,-71,-90,-91,-90,-88,-87,-91,,,,-83,-85,-84,-76,-76,-76
5,6,1,-90,-90,-89,-68,-70,-70,-90,-90,-89,-120,-120,-120,,,,-77,-77,-78,-79,-81,-82
5,6,1,-90,-89,-90,-71,-71,-72,-120,-91,-107,-90,-90,-106,,,,-78,-78,-79,-86,-85,-87
5,6,1,-90,-90,-106,-67,-69,-69,-89,-89,-89,,,,,,,-77,-76,-77,-84,-86,-85
5,6,3,-90,-91,-90,-67,-66,-64,-88,-88,-87,-90,-89,-88,,,,-78,-79,-79,-79,-79,-77
5,6,1,,,,-69,-70,-70,-105,-120,-90,-91,-90,-106,,,,-78,-77,-80,-87,-88,-88
6,6,3,-120,-120,-120,-67,-68,-68,-84,-83,-84,-88,-86,-86,,,,-84,-82,-81,-77,-77,-77
8,8,1,-120,-120,-120,-87,-85,-84,-93,-89,-89,-83,-82,-82,-90,-90,-89,-86,-87,-87,-82,-81,-82
8,8,3,-87,-90,-82,-80,-79,-77,-85,-85,-85,-75,-75,-75,-88,-89,-86,-84,-82,-79,-82,-83,-77
8,8,1,,,,-87,-86,-87,-87,-87,-92,-87,-87,-88,,,,-91,-91,-90,-81,-81,-80
8,8,1,,,,-87,-86,-86,-85,-86,-85,-87,-87,-84,,,,-88,-92,-108,-79,-79,-79
8,8,1,,,,-88,-86,-86,-87,-87,-87,-86,-84,-83,,,,-90,-89,-89,-80,-81,-78
8,8,3,-120,-90,-89,-80,-79,-79,-82,-82,-85,-70,-70,-69,-91,-91,-91,-77,-78,-82,-75,-75,-76
8,8,3,-120,-120,-91,-82,-83,-83,-85,-86,-86,-69,-69,-70,,,,-86,-86,-87,-73,-74,-75
8,8,1,,,,-84,-86,-82,-90,-106,-91,-73,-75,-75,,,,-85,-90,-84,-82,-83,-82
8,8,3,-90,-89,-91,-84,-85,-86,-85,-84,-82,-69,-69,-71,,,,-83,-85,-86,-74,-75,-76
8,8,1,-90,-90,-90,-84,-85,-84,-107,-120,-120,-75,-75,-74,,,,-84,-86,-90,-81,-81,-80
8,8,1,,,,-85,-88,-88,,,,-74,-76,-78,,,,-86,-85,-85,-80,-80,-80
8,8,1,,,,-88,-87,-89,,,,-76,-76,-76,,,,-90,-92,-90,-80,-79,-79
5,5,3,-83,-88,-89,-65,-65,-64,-88,-92,-88,-89,-89,-88,,,,-67,-66,-65,-87,-87,-87
5,5,1,-86,-86,-86,-71,-71,-72,,,,,,,,,,-71,-71,-72,-87,-87,-87
5,5,1,-87,-86,-87,-73,-72,-72,-90,-106,-120,,,,,,,-74,-75,-74,-88,-87,-89
5,5,3,-90,-90,-89,-66,-65,-66,-90,-90,-90,-89,-88,-88,,,,-67,-67,-68,-86,-86,-85
5,5,1,-107,-91,-89,-76,-76,-77,,,,,,,,,,-78,-78,-79,-89,-90,-88
5,5,1,-88,-88,-88,-77,-77,-76,,,,,,,,,,-81,-83,-81,-88,-88,-88
5,5,3,-79,-80,-82,-68,-67,-65,-87,-86,-87,-88,-87,-87,,,,-72,-74,-74,-90,-88,-89
5,5,1,-84,-83,-83,-74,-73,-73,,,,,,,,,,-70,-69,-70,-109,-120,-90
5,5,3,-82,-81,-80,-68,-64,-61,-90,-92,-89,-88,-89,-88,-90,-90,-90,-71,-69,-70,-87,-88,-87
5,5,1,-84,-84,-84,-73,-73,-74,,,,,,,,,,-72,-72,-72,-90,-106,-92
6,6,1,-120,-120,-120,-77,-77,-77,,,,,,,,,,-83,-83,-83,-81,-81,-81
5,6,1,-108,-92,-91,-74,-75,-74,,,,,,,,,,-80,-78,-79,-81,-81,-81
6,6,1,-84,-84,-83,-77,-78,-75,,,,-120,-120,-120,,,,-78,-78,-78,-77,-78,-79
6,6,3,-85,-86,-86,-70,-69,-68,,,,-89,-105,-120,,,,-76,-76,-75,-76,-78,-77
5,6,1,-85,-85,-85,-76,-76,-77,,,,,,,,,,-80,-79,-82,-79,-80,-79
6,6,3,-87,-87,-87,-74,-74,-74,-90,-90,-90,-89,-89,-89,,,,-77,-79,-80,-74,-75,-76
5,6,3,-86,-86,-85,-74,-74,-75,,,,-90,-106,-120,,,,-75,-77,-79,-75,-76,-78
6,6,1,-84,-84,-84,-76,-76,-76,,,,,,,,,,-79,-81,-81,-79,-79,-79
5,6,1,-110,-89,-105,-66,-65,-67,-120,-120,-120,,,,,,,-78,-77,-77,-89,-89,-89
5,6,3,-120,-120,-120,-68,-63,-64,-89,-90,-88,-89,-88,-88,,,,-84,-87,-85,-80,-78,-78
6,6,1,,,,-73,-72,-72,,,,,,,,,,-88,-86,-84,-81,-81,-80
6,6,3,-89,-89,-88,-74,-75,-74,-89,-91,-88,-89,-87,-89,,,,-79,-79,-80,-79,-80,-80
6,6,1,,,,-71,-70,-70,,,,,,,,,,-83,-85,-84,-80,-80,-80
6,6,3,-85,-88,-85,-72,-74,-73,-90,-89,-88,-86,-88,-88,,,,-79,-80,-82,-77,-80,-80
6,6,1,,,,-70,-70,-73,-90,-91,-93,,,,,,,-84,-84,-84,-82,-80,-80
6,6,3,-88,-87,-87,-73,-72,-72,-89,-87,-87,-87,-87,-88,,,,-84,-83,-86,-76,-78,-78
5,5,1,-120,-120,-93,-81,-83,-81,,,,,,,,,,-71,-72,-73,-87,-87,-86
5,5,1,-89,-87,-87,-86,-85,-86,,,,,,,,,,-72,-72,-74,-86,-86,-87
5,5,1,-85,-86,-89,-74,-71,-72,,,,,,,,,,-75,-74,-74,,,
5,5,3,-89,-88,-88,-69,-68,-68,,,,-89,-89,-89,-91,-90,-92,-65,-66,-66,-80,-82,-81
5,5,3,-87,-88,-85,-69,-69,-71,-89,-88,-88,-91,-91,-91,-90,-91,-91,-73,-74,-76,-87,-85,-85
7,7,3,-87,-87,-88,-80,-80,-80,-87,-85,-85,-76,-76,-75,-87,-89,-90,-70,-74,-76,-88,-87,-89
5,7,3,-89,-93,-109,-79,-79,-80,-84,-85,-85,-81,-79,-80,-87,-85,-86,-74,-74,-74,-83,-84,-84
7,7,1,,,,-92,-88,-87,-90,-106,-120,-85,-86,-85,-120,-120,-120,-83,-85,-85,,,
7,7,1,-92,-92,-108,-88,-86,-87,-89,-89,-89,-85,-84,-82,,,,-81,-86,-84,,,
7,7,1,,,,-87,-87,-88,-90,-93,-109,-78,-79,-81,,,,-87,-87,-85,,,
7,7,3,-86,-86,-85,-80,-80,-79,-84,-88,-88,-67,-68,-67,-89,-90,-106,-76,-76,-76,-86,-87,-87
